,number,value,params_df_max_layers,params_df_min_samples_leaf,params_df_n_trees,state
195,195,0.5040499777161132,47,1,238,COMPLETE
196,196,0.5040503432779594,48,1,250,COMPLETE
197,197,0.5020990537938408,44,1,242,COMPLETE
198,198,0.5036991114710622,45,1,232,COMPLETE
199,199,0.5040499777161132,42,1,238,COMPLETE
200,200,0.5034047552351938,50,1,246,COMPLETE
201,201,0.5006046741661067,49,1,244,COMPLETE
202,202,0.5006046741661067,41,1,244,COMPLETE
203,203,0.5028273099136835,46,1,252,COMPLETE
204,204,0.5670088984014217,44,15,248,COMPLETE
205,205,0.5040499777161132,46,1,238,COMPLETE
206,206,0.5020990537938408,43,1,242,COMPLETE
207,207,0.5026220231124772,40,1,254,COMPLETE
208,208,0.502648152085041,44,1,234,COMPLETE
209,209,0.5031411893605178,43,1,134,COMPLETE
210,210,0.5034047552351938,45,1,246,COMPLETE
211,211,0.5006046741661067,48,1,244,COMPLETE
212,212,0.5020990537938408,48,1,242,COMPLETE
213,213,0.5033112343133569,42,1,248,COMPLETE
214,214,0.5040499777161132,39,1,238,COMPLETE
215,215,0.5006046741661067,49,1,244,COMPLETE
216,216,0.5040503432779594,48,1,250,COMPLETE
217,217,0.5043465434838871,49,1,240,COMPLETE
218,218,0.5026220231124772,41,1,254,COMPLETE
219,219,0.5006046741661067,41,1,244,COMPLETE
220,220,0.5026481520850411,50,1,234,COMPLETE
221,221,0.5006046741661067,47,1,244,COMPLETE
222,222,0.5034047552351938,49,1,246,COMPLETE
223,223,0.5043465434838871,46,1,240,COMPLETE
224,224,0.5033112343133569,43,1,248,COMPLETE
225,225,0.5020990537938408,47,1,242,COMPLETE
226,226,0.5040503432779594,44,1,250,COMPLETE
227,227,0.5019527205673989,42,1,236,COMPLETE
228,228,0.5006046741661067,41,1,244,COMPLETE
229,229,0.5040499777161132,41,1,238,COMPLETE
230,230,0.5033112343133569,45,1,248,COMPLETE
231,231,0.5006046741661067,46,1,244,COMPLETE
232,232,0.5020990537938408,48,1,242,COMPLETE
233,233,0.5034047552351938,39,1,246,COMPLETE
234,234,0.5028273099136836,44,1,252,COMPLETE
235,235,0.5043465434838871,45,1,240,COMPLETE
236,236,0.5006046741661067,49,1,244,COMPLETE
237,237,0.5040503432779594,50,1,250,COMPLETE
238,238,0.531389250572094,47,7,238,COMPLETE
239,239,0.5006046741661067,49,1,244,COMPLETE
240,240,0.5026220231124772,46,1,254,COMPLETE
241,241,0.5006046741661067,47,1,244,COMPLETE
242,242,0.5033112343133569,45,1,248,COMPLETE
243,243,0.5020990537938408,49,1,242,COMPLETE
244,244,0.5034047552351938,49,1,246,COMPLETE
245,245,0.5019527205673989,49,1,236,COMPLETE
246,246,0.5043465434838871,43,1,240,COMPLETE
247,247,0.5034047552351938,48,1,246,COMPLETE
248,248,0.5036991114710622,42,1,232,COMPLETE
249,249,0.5040503432779594,44,1,250,COMPLETE
250,250,0.5020990537938408,48,1,242,COMPLETE
251,251,0.5040499777161132,46,1,238,COMPLETE
252,252,0.5128535449439897,40,3,244,COMPLETE
253,253,0.5040503432779594,45,1,250,COMPLETE
254,254,0.5026220231124772,41,1,254,COMPLETE
255,255,0.503311234313357,43,1,248,COMPLETE
256,256,0.5020990537938408,50,1,242,COMPLETE
257,257,0.5006046741661067,47,1,244,COMPLETE
258,258,0.501952720567399,47,1,236,COMPLETE
259,259,0.5036645941680614,45,1,228,COMPLETE
260,260,0.5112226143241598,47,3,240,COMPLETE
261,261,0.567648573643396,46,13,246,COMPLETE
262,262,0.5006046741661067,41,1,244,COMPLETE
263,263,0.5028273099136835,43,1,252,COMPLETE
264,264,0.502648152085041,38,1,234,COMPLETE
265,265,0.5443846004911663,44,9,238,COMPLETE
266,266,0.5051466141643478,46,1,186,COMPLETE
267,267,0.503311234313357,47,1,248,COMPLETE
268,268,0.5119730111700977,40,3,242,COMPLETE
269,269,0.5034047552351938,42,1,246,COMPLETE
270,270,0.5026220231124772,42,1,254,COMPLETE
271,271,0.5043465434838871,48,1,240,COMPLETE
272,272,0.5040503432779594,6,1,250,COMPLETE
273,273,0.5026481520850411,49,1,234,COMPLETE
274,274,0.5040499777161132,44,1,238,COMPLETE
275,275,0.5006046741661067,49,1,244,COMPLETE
276,276,0.503311234313357,44,1,248,COMPLETE
277,277,0.5027815339601585,41,1,230,COMPLETE
278,278,0.5020990537938408,45,1,242,COMPLETE
279,279,0.5140412820100793,43,3,156,COMPLETE
280,280,0.5006046741661067,47,1,244,COMPLETE
281,281,0.5026220231124772,50,1,254,COMPLETE
282,282,0.5847058890347178,50,19,248,COMPLETE
283,283,0.5043729858424486,47,1,166,COMPLETE
284,284,0.5040499777161132,42,1,238,COMPLETE
285,285,0.5006046741661067,48,1,244,COMPLETE
286,286,0.5040503432779594,45,1,250,COMPLETE
287,287,0.5030511625731812,48,1,196,COMPLETE
288,288,0.5043465434838871,49,1,240,COMPLETE
289,289,0.501952720567399,43,1,236,COMPLETE
290,290,0.5028273099136835,44,1,252,COMPLETE
291,291,0.5775106703523302,39,17,246,COMPLETE
292,292,0.5112226143241598,46,3,240,COMPLETE
293,293,0.5036991114710622,46,1,232,COMPLETE
294,294,0.5006046741661067,49,1,244,COMPLETE
295,295,0.5033112343133569,50,1,248,COMPLETE
296,296,0.5020990537938408,48,1,242,COMPLETE
297,297,0.5019527205673989,43,1,236,COMPLETE
298,298,0.5026220231124772,45,1,254,COMPLETE
299,299,0.503311234313357,44,1,248,COMPLETE
300,300,0.5119730111700979,46,3,242,COMPLETE
301,301,0.5034047552351938,42,1,246,COMPLETE
302,302,0.5043465434838871,48,1,240,COMPLETE
303,303,0.5009913552503527,47,1,124,COMPLETE
304,304,0.5040503432779594,45,1,250,COMPLETE
305,305,0.5006046741661067,36,1,244,COMPLETE
306,306,0.5546126074105385,44,11,234,COMPLETE
307,307,0.5040499777161132,45,1,238,COMPLETE
308,308,0.5006046741661067,47,1,244,COMPLETE
309,309,0.5028273099136835,43,1,252,COMPLETE
310,310,0.5115065903333436,41,3,256,COMPLETE
311,311,0.5034047552351938,46,1,246,COMPLETE
312,312,0.5043465434838872,49,1,240,COMPLETE
313,313,0.5671602292303057,42,15,250,COMPLETE
314,314,0.501952720567399,50,1,236,COMPLETE
315,315,0.503311234313357,44,1,248,COMPLETE
316,316,0.5020990537938408,49,1,242,COMPLETE
317,317,0.5027815339601585,40,1,230,COMPLETE
318,318,0.5006046741661067,41,1,244,COMPLETE
319,319,0.5253980189158824,45,5,238,COMPLETE
320,320,0.503311234313357,43,1,248,COMPLETE
321,321,0.5100714979334582,48,3,100,COMPLETE
322,322,0.5028273099136836,48,1,252,COMPLETE
323,323,0.5043465434838871,50,1,240,COMPLETE
324,324,0.5034047552351938,46,1,246,COMPLETE
325,325,0.5026481520850411,49,1,234,COMPLETE
326,326,0.5031720663795988,40,1,226,COMPLETE
327,327,0.5006046741661067,39,1,244,COMPLETE
328,328,0.5024332595160542,44,1,256,COMPLETE
329,329,0.5043465434838871,41,1,240,COMPLETE
330,330,0.503311234313357,45,1,248,COMPLETE
331,331,0.5020990537938408,47,1,242,COMPLETE
332,332,0.501952720567399,42,1,236,COMPLETE
333,333,0.5098182730786751,43,3,252,COMPLETE
334,334,0.5034047552351938,37,1,246,COMPLETE
335,335,0.5006046741661067,47,1,244,COMPLETE
336,336,0.5020990537938409,48,1,242,COMPLETE
337,337,0.5040503432779594,42,1,250,COMPLETE
338,338,0.5036991114710622,46,1,232,COMPLETE
339,339,0.5040499777161132,47,1,238,COMPLETE
340,340,0.5034047552351938,44,1,246,COMPLETE
341,341,0.5024332595160542,46,1,256,COMPLETE
342,342,0.5112226143241597,41,3,240,COMPLETE
343,343,0.5006046741661067,44,1,244,COMPLETE
344,344,0.5040503432779594,45,1,250,COMPLETE
345,345,0.5308711106852911,47,7,236,COMPLETE
346,346,0.5020990537938408,38,1,242,COMPLETE
347,347,0.5026220231124772,49,1,254,COMPLETE
348,348,0.5034047552351938,50,1,246,COMPLETE
349,349,0.5006046741661067,49,1,244,COMPLETE
350,350,0.5040503432779594,43,1,250,COMPLETE
351,351,0.5130844788311859,35,3,238,COMPLETE
352,352,0.5034047552351938,40,1,246,COMPLETE
353,353,0.5036991114710622,48,1,232,COMPLETE
354,354,0.5020990537938408,47,1,242,COMPLETE
355,355,0.5040503432779594,42,1,250,COMPLETE
356,356,0.5043465434838871,47,1,240,COMPLETE
357,357,0.501952720567399,38,1,236,COMPLETE
358,358,0.5006046741661067,47,1,244,COMPLETE
359,359,0.5034047552351938,48,1,246,COMPLETE
360,360,0.5026220231124772,48,1,254,COMPLETE
361,361,0.5112226143241597,40,3,240,COMPLETE
362,362,0.5033112343133569,34,1,248,COMPLETE
363,363,0.5019527205673989,50,1,236,COMPLETE
